Gene_Symbol,U_statistic,P_value,FDR
ETV7,119759.5,0.00016243876815551933,
SPRTN,102902.5,0.9300034922841999,
METTL13,119612.0,0.00018474691541531133,
DYRK4,99597.0,0.5259365244172327,
ZNF207,99574.0,0.5226623857345749,
UQCRC1,119140.0,0.000277040578123461,
STARD3NL,88573.5,0.002342710460865913,
CD9,110470.0,0.08161279030657526,
HHATL,90708.5,0.008728765829129898,
NCAPD2,109172.5,0.1448711052805017,
IFFO1,104632.5,0.6413155243177677,
GIPR,112108.0,0.035788592757252935,
PHF7,102765.5,0.9538244829502838,
SEMA3G,94902.0,0.09689055298847872,
NISCH,100018.0,0.5876607592214883,
STAB1,96266.0,0.1731748080117721,
FUZ,116901.0,0.001651623653841743,
SLC6A13,108312.5,0.2027246928653348,
IDS,91547.5,0.016706414600411622,
PRSS3,102241.5,0.9549690445704581,
ZNF200,104739.0,0.6247486368808887,
CD4,111855.5,0.040938967270688936,
LRRC23,120515.5,8.270209553608208e-05,
BTK,110471.0,0.08157451290289716,
HFE,90249.5,0.007434453237384263,
SCMH1,93824.5,0.05801801342967758,
FYN,94447.5,0.07850433656141619,
HIVEP2,84774.5,0.00010747545563977989,
FMO1,93585.5,0.051440652108779884,
ELOA,100140.5,0.6062304253919255,
LYPLA2,115341.0,0.005019819097716062,
CLCN6,94254.0,0.07159066562313667,
MRC2,108846.0,0.16558021923333055,
NME1-NME2,102500.0,,
SLC6A7,110865.0,0.06752138433830891,
TSPAN9,107313.0,0.29299574729098987,
BTBD7,90589.5,0.009256381380721433,
APBA3,117706.5,0.0008916949676405911,
MKS1,111099.0,0.06026552667710153,
ABHD5,85084.5,0.00014161717029440306,
ANOS1,102537.0,0.9936364892518182,
AKAP8L,121421.5,3.5588235224782915e-05,
MBTD1,94965.0,0.09969114801316849,
UTP18,107521.0,0.27263167227379936,
RNF216,100018.0,0.5876607555643332,
TTC19,89460.0,0.004382347803320164,
PTBP1,117622.0,0.0009525559833632144,
DPF1,114844.0,0.006993332429932706,
SYT7,108178.0,0.21476007162832067,
LARS2,115620.0,0.004147455858871354,
PIK3C2A,91032.5,0.012223079629921772,
PLAUR,114392.0,0.009366080117243346,
ANLN,109498.0,0.12626105396062529,
WIZ,115223.0,0.005436304964974702,
RABGAP1,83640.0,3.772932816402701e-05,
DCN,88437.0,0.0021207715870785477,
QPCTL,114185.0,0.0106749418461681,
PPP5C,117424.0,0.0011105428045431217,
CEP68,83441.5,3.122595488698296e-05,
MAP4K3,89536.0,0.004616595821234063,
ZBTB32,122352.5,1.4389456576841219e-05,
TYROBP,116056.0,0.0030565492973414587,
LDAF1,89051.0,0.0032968507978669488,
